Sentence,Rubric,Score,FeedbackCode,Avg_Word_Length,Avg_Sentence_Length,Word_Count,Unq_Word_Count,Sentence_Count,Avg_Readability_Index,TokenizedSentences,TokenizedText,Grade,Outcome,Rubric_Encode,Grade_Encode
We expected you to use built-in functions in matlab to annotate the items you have missed on your plot.,Sensemaking 1,86.67,456,20,4.25,20,10,1,77.57,"['expected', 'use', 'built-in', 'functions', 'matlab', 'annotate', 'items', 'missed', 'plot', '.']",expected use built-in functions matlab annotate items missed plot .,HD,Pass,6,2
"Further, you had a good explanation on the collection process but it lacks in-depth details about using the budget in a meaningful way accompanied with reasoning to show its feasibility and the relation of the data collection to testing the hypothesis using the given budget.",Sensemaking 1,86.67,456,47,4.91,47,22,1,17.34,"[',', 'good', 'explanation', 'collection', 'process', 'lacks', 'in-depth', 'details', 'using', 'budget', 'meaningful', 'way', 'accompanied', 'reasoning', 'show', 'feasibility', 'relation', 'data', 'collection', 'testing', 'hypothesis', 'using', 'given', 'budget', '.']",", good explanation collection process lacks in-depth details using budget meaningful way accompanied reasoning show feasibility relation data collection testing hypothesis using given budget .",HD,Pass,6,2
The other minor issue with your task was about a lack of in-depth justification on your reasons of choosing the test for your statistical analysis. You could have briefly compared it to the other tests we learned in this unit (you could have referred to the data type like parametric vs non-parametric data).,Sensemaking 1,86.67,456,57,4.49,57,27,2,53.04,"['minor', 'issue', 'task', 'lack', 'in-depth', 'justification', 'reasons', 'choosing', 'test', 'statistical', 'analysis', '.', 'could', 'briefly', 'compared', 'tests', 'learned', 'unit', '(', 'could', 'referred', 'data', 'type', 'like', 'parametric', 'vs', 'non-parametric', 'data', ')', '.']",minor issue task lack in-depth justification reasons choosing test statistical analysis . could briefly compared tests learned unit ( could referred data type like parametric vs non-parametric data ) .,HD,Pass,6,2
Lastly the limitations of the research and future investigations are described nicely.,Sensemaking 1,86.67,456,13,5.77,13,8,1,25.46,"['lastly', 'limitations', 'research', 'future', 'investigations', 'described', 'nicely', '.']",lastly limitations research future investigations described nicely .,HD,Pass,6,2
You did a good job in calculating the accuracy based on a correct confusion matrix,Sensemaking 1,86.67,456,15,4.53,15,8,1,47.79,"['good', 'job', 'calculating', 'accuracy', 'based', 'correct', 'confusion', 'matrix']",good job calculating accuracy based correct confusion matrix,HD,Pass,6,2
"; however, you missed the requirement of the task which asked you to that all working out (including the steps) should be done by hand (i.e., hand written or shown in full in a word or excel document) for the confusion matrix.",Sensemaking 2,86.67,456,49,3.78,49,24,1,46.78,"[';', 'however', ',', 'missed', 'requirement', 'task', 'asked', 'working', '(', 'including', 'steps', ')', 'done', 'hand', '(', 'i.e.', ',', 'hand', 'written', 'shown', 'full', 'word', 'excel', 'document', ')', 'confusion', 'matrix', '.']","; however , missed requirement task asked working ( including steps ) done hand ( i.e. , hand written shown full word excel document ) confusion matrix .",HD,Pass,7,2
"Also, there is an issue with the calculation of the accuracy which should be 50%.",Sensemaking 1,86.67,456,18,3.72,18,8,1,64.71,"['also', ',', 'issue', 'calculation', 'accuracy', '50', '%', '.']","also , issue calculation accuracy 50 % .",HD,Pass,6,2
Argument for the performance of accuracy metric is nicely described and also all your results are correct accompanied with the required steps to calculate them.,Sensemaking 1,86.67,456,26,5.23,26,14,1,29.18,"['argument', 'performance', 'accuracy', 'metric', 'nicely', 'described', 'also', 'results', 'correct', 'accompanied', 'required', 'steps', 'calculate', '.']",argument performance accuracy metric nicely described also results correct accompanied required steps calculate .,HD,Pass,6,2
"You received 18 marks for Week 7, 17 marks for Week 8 and 17 marks for Week 9"" ",Agency 1,86.67,456,20,3.1,20,10,1,95.51,"['received', '18', 'marks', 'week', '7', ',', '17', 'marks', 'week', '8', '17', 'marks', 'week', '9', ""''""]","received 18 marks week 7 , 17 marks week 8 17 marks week 9 ''",HD,Pass,0,2
"Regarding Task 1, a good selection of problematic questions, and you have accurately identified the issues lie within those questions.",Sensemaking 1,58.33,457,23,5.0,23,14,1,34.26,"['regarding', 'task', '1', ',', 'good', 'selection', 'problematic', 'questions', ',', 'accurately', 'identified', 'issues', 'lie', 'within', 'questions', '.']","regarding task 1 , good selection problematic questions , accurately identified issues lie within questions .",P,Pass,6,4
"However, if you prefer to reuse the options in Q2, it should be refined as they are ambiguous and better to add the 'other' option to capture more categories.",Impact 1,58.33,457,33,3.94,33,16,1,50.5,"['however', ',', 'prefer', 'reuse', 'options', 'q2', ',', 'refined', 'ambiguous', 'better', 'add', ""'other"", ""'"", 'option', 'capture', 'categories', '.']","however , prefer reuse options q2 , refined ambiguous better add 'other ' option capture categories .",P,Pass,3,4
"In Q3, the annotations of the scaling need to be reassessed.",Impact 1,58.33,457,13,3.85,13,7,1,68.77,"['q3', ',', 'annotations', 'scaling', 'need', 'reassessed', '.']","q3 , annotations scaling need reassessed .",P,Pass,3,4
Q5 is still leading as you are claiming the on-boarding process is bad.,Sensemaking 1,58.33,457,14,4.21,14,8,1,83.66,"['q5', 'still', 'leading', 'claiming', 'on-boarding', 'process', 'bad', '.']",q5 still leading claiming on-boarding process bad .,P,Pass,6,4
The options provided for Q9 need to be improved as well.,Sensemaking 1,58.33,457,12,3.83,12,7,1,77.23,"['options', 'provided', 'q9', 'need', 'improved', 'well', '.']",options provided q9 need improved well .,P,Pass,6,4
"In task 2, all the questions you developed were closed-ended questions. However, it is okay to add a few open-ended questions to a questionnaire, to obtain participants' view on it.",Sensemaking 1,58.33,457,36,4.22,36,16,2,64.71,"['task', '2', ',', 'questions', 'developed', 'closed-ended', 'questions', '.', 'however', ',', 'okay', 'add', 'open-ended', 'questions', 'questionnaire', ',', 'obtain', 'participants', ""'"", 'view', '.']","task 2 , questions developed closed-ended questions . however , okay add open-ended questions questionnaire , obtain participants ' view .",P,Pass,6,4
"There are several ways to improve your week 5 tasks further. In terms of the interview schedule, the interview questions are not related to the topic provided in week 5, and it seems you prepared this after the interview as it is personalised for your interviewee and cannot be used for another person.",Impact 3,58.33,457,58,4.31,58,22,2,53.04,"['several', 'ways', 'improve', 'week', '5', 'tasks', '.', 'terms', 'interview', 'schedule', ',', 'interview', 'questions', 'related', 'topic', 'provided', 'week', '5', ',', 'seems', 'prepared', 'interview', 'personalised', 'interviewee', 'used', 'another', 'person', '.']","several ways improve week 5 tasks . terms interview schedule , interview questions related topic provided week 5 , seems prepared interview personalised interviewee used another person .",P,Pass,5,4
"Also, some of the questions are closed, and thereby, your participant couldn't expand their responses.",Sensemaking 1,58.33,457,20,4.4,20,11,1,47.79,"['also', ',', 'questions', 'closed', ',', 'thereby', ',', 'participant', 'could', ""n't"", 'expand', 'responses', '.']","also , questions closed , thereby , participant could n't expand responses .",P,Pass,6,4
"While having an interview schedule saves a lot of time for us and makes the interview process much easier, it does not necessarily mean that we have to stick to it 100%.",Impact 1,58.33,457,35,3.94,35,17,1,55.92,"['interview', 'schedule', 'saves', 'lot', 'time', 'us', 'makes', 'interview', 'process', 'much', 'easier', ',', 'necessarily', 'mean', 'stick', '100', '%', '.']","interview schedule saves lot time us makes interview process much easier , necessarily mean stick 100 % .",P,Pass,3,4
"Depending on the participants' responses, you can ask additional questions, clarify the participants' points, and even summarise the participants' responses to confirm that you grasped their responses correctly.",Impact 1,58.33,457,35,5.26,35,16,1,9.22,"['depending', 'participants', ""'"", 'responses', ',', 'ask', 'additional', 'questions', ',', 'clarify', 'participants', ""'"", 'points', ',', 'even', 'summarise', 'participants', ""'"", 'responses', 'confirm', 'grasped', 'responses', 'correctly', '.']","depending participants ' responses , ask additional questions , clarify participants ' points , even summarise participants ' responses confirm grasped responses correctly .",P,Pass,3,4
"In this way, you could dig deeper into their responses.",Impact 3,58.33,457,12,3.83,12,7,1,78.25,"['way', ',', 'could', 'dig', 'deeper', 'responses', '.']","way , could dig deeper responses .",P,Pass,5,4
"In addition, your interview is 6mins long though we expect you to conduct a 20 min interview, and the transcript cannot be considered as well produced.",Sensemaking 1,58.33,457,30,4.2,30,15,1,53.55,"['addition', ',', 'interview', '6mins', 'long', 'though', 'expect', 'conduct', '20', 'min', 'interview', ',', 'transcript', 'considered', 'well', 'produced', '.']","addition , interview 6mins long though expect conduct 20 min interview , transcript considered well produced .",P,Pass,6,4
"In this section of the assignment, I can see that you haven't used the interview transcripts that we have specifically mentioned in the assignment guideline.",Sensemaking 2,58.33,457,28,4.75,28,12,1,54.56,"['section', 'assignment', ',', 'see', ""n't"", 'used', 'interview', 'transcripts', 'specifically', 'mentioned', 'assignment', 'guideline', '.']","section assignment , see n't used interview transcripts specifically mentioned assignment guideline .",P,Pass,7,4
You have used the transcript which we consumed for the workshop activities.,Sensemaking 1,58.33,457,13,4.92,13,6,1,67.76,"['used', 'transcript', 'consumed', 'workshop', 'activities', '.']",used transcript consumed workshop activities .,P,Pass,6,4
"When it comes to latent codes where you have to go beyond the surface meaning, there is room for further improvement as the majority of the codes are surface level.",Sensemaking 1,58.33,457,32,4.22,32,13,1,57.95,"['comes', 'latent', 'codes', 'go', 'beyond', 'surface', 'meaning', ',', 'room', 'improvement', 'majority', 'codes', 'surface', 'level', '.']","comes latent codes go beyond surface meaning , room improvement majority codes surface level .",P,Pass,6,4
"Also, you haven't provided two illustrative quotes for each code, and the description of it needs to be detailed, highlighting why this code is important.",Sensemaking 1,58.33,457,30,4.33,30,14,1,54.56,"['also', ',', ""n't"", 'provided', 'two', 'illustrative', 'quotes', 'code', ',', 'description', 'needs', 'detailed', ',', 'highlighting', 'code', 'important', '.']","also , n't provided two illustrative quotes code , description needs detailed , highlighting code important .",P,Pass,6,4
"However, you have listed three distinct themes, and they are relevant to the workshop interview topic, broad enough to contain a set of codes.",Sensemaking 1,58.33,457,28,4.25,28,16,1,55.58,"['however', ',', 'listed', 'three', 'distinct', 'themes', ',', 'relevant', 'workshop', 'interview', 'topic', ',', 'broad', 'enough', 'contain', 'set', 'codes', '.']","however , listed three distinct themes , relevant workshop interview topic , broad enough contain set codes .",P,Pass,6,4
"In terms of improvements, the justification could have been detailed by describing all the codes briefly using 150 words. The justification lacks depth and abstraction as to why this matters to the wider theme.",Sensemaking 1,58.33,457,37,4.78,37,19,2,62.68,"['terms', 'improvements', ',', 'justification', 'could', 'detailed', 'describing', 'codes', 'briefly', 'using', '150', 'words', '.', 'justification', 'lacks', 'depth', 'abstraction', 'matters', 'wider', 'theme', '.']","terms improvements , justification could detailed describing codes briefly using 150 words . justification lacks depth abstraction matters wider theme .",P,Pass,6,4
"You received 16 marks for Week 4, 8 marks for Week 5 and 11 marks for Week 6"" ",Agency 1,58.33,457,20,3.05,20,11,1,95.51,"['received', '16', 'marks', 'week', '4', ',', '8', 'marks', 'week', '5', '11', 'marks', 'week', '6', ""''""]","received 16 marks week 4 , 8 marks week 5 11 marks week 6 ''",P,Pass,0,4
The quality of the video is quite good!,Sensemaking 2,83.33,458,9,3.56,9,5,1,88.74,"['quality', 'video', 'quite', 'good', '!']",quality video quite good !,HD,Pass,7,2
"The video is edited to a high-quality, clips are trimmed to the right length and visuals are not distracting.",Sensemaking 1,83.33,458,21,4.33,21,11,1,69.11,"['video', 'edited', 'high-quality', ',', 'clips', 'trimmed', 'right', 'length', 'visuals', 'distracting', '.']","video edited high-quality , clips trimmed right length visuals distracting .",HD,Pass,6,2
Stylistic elements are consistent.,Sensemaking 1,83.33,458,5,6.2,5,4,1,8.2,"['stylistic', 'elements', 'consistent', '.']",stylistic elements consistent .,HD,Pass,6,2
Dialog is use throughout to communicate a clear and concise summary of the paper.,Sensemaking 1,83.33,458,15,4.53,15,9,1,48.81,"['dialog', 'use', 'throughout', 'communicate', 'clear', 'concise', 'summary', 'paper', '.']",dialog use throughout communicate clear concise summary paper .,HD,Pass,6,2
Clear decisions have been made for communicating with the audience.,Sensemaking 1,83.33,458,11,5.27,11,6,1,44.41,"['clear', 'decisions', 'made', 'communicating', 'audience', '.']",clear decisions made communicating audience .,HD,Pass,6,2
Some suggestions for you to improve: 1. the speaking speed is relatively too fast. The best way to solve this issue is to reduce some contents,Sensemaking 1,83.33,458,28,4.18,28,15,2,75.2,"['suggestions', 'improve', ':', '1.', 'speaking', 'speed', 'relatively', 'fast', '.', 'best', 'way', 'solve', 'issue', 'reduce', 'contents']",suggestions improve : 1. speaking speed relatively fast . best way solve issue reduce contents,HD,Pass,6,2
"; 2. Some justifications are too general, which requires further clarification, e.g. """"Limitation of the traditional MOOCs"""" [why audience need to know it?]",Sensemaking 1,83.33,458,34,4.06,34,20,3,15.31,"[';', '2', '.', 'justifications', 'general', ',', 'requires', 'clarification', ',', 'e.g', '.', '``', '``', 'limitation', 'traditional', 'moocs', ""''"", ""''"", '[', 'audience', 'need', 'know', '?', ']']","; 2 . justifications general , requires clarification , e.g . `` `` limitation traditional moocs '' '' [ audience need know ? ]",HD,Pass,6,2
; 3. Try to use more visuals to demonstrate your pitches since most of them are static images or slices.,Impact 1,83.33,458,22,3.86,22,12,2,69.11,"[';', '3', '.', 'try', 'use', 'visuals', 'demonstrate', 'pitches', 'since', 'static', 'images', 'slices', '.']",; 3 . try use visuals demonstrate pitches since static images slices .,HD,Pass,3,2
"Generally, the assignment is quite good!",Agency 2,83.33,458,8,4.38,8,6,1,48.47,"['generally', ',', 'assignment', 'quite', 'good', '!']","generally , assignment quite good !",HD,Pass,1,2
"Some suggestions for you to improve: 1. The impact is mentioned, but its not very clear how this benefits a potential industry partner, e.g. how to get social good?",Sensemaking 1,83.33,458,35,3.89,35,18,3,73.68,"['suggestions', 'improve', ':', '1', '.', 'impact', 'mentioned', ',', 'clear', 'benefits', 'potential', 'industry', 'partner', ',', 'e.g', '.', 'get', 'social', 'good', '?']","suggestions improve : 1 . impact mentioned , clear benefits potential industry partner , e.g . get social good ?",HD,Pass,6,2
"; 2. Some mention of potential commercialisation, but not clear how this might be realised, particularly in relation to any previous questions on patents etc.",Sensemaking 1,83.33,458,29,4.62,29,16,2,30.2,"[';', '2', '.', 'mention', 'potential', 'commercialisation', ',', 'clear', 'might', 'realised', ',', 'particularly', 'relation', 'previous', 'questions', 'patents', 'etc', '.']","; 2 . mention potential commercialisation , clear might realised , particularly relation previous questions patents etc .",HD,Pass,6,2
"You received 41 marks for Week 10 and 11 and 9 marks for Week 12"" ",Agency 1,83.33,458,16,3.25,16,9,1,98.55,"['received', '41', 'marks', 'week', '10', '11', '9', 'marks', 'week', '12', ""''""]",received 41 marks week 10 11 9 marks week 12 '',HD,Pass,0,2
"Regarding Task 1, you have accurately identified the issues within the selected questions.",Sensemaking 1,88.33,459,15,5.2,15,11,1,32.9,"['regarding', 'task', '1', ',', 'accurately', 'identified', 'issues', 'within', 'selected', 'questions', '.']","regarding task 1 , accurately identified issues within selected questions .",HD,Pass,6,2
"However, you could have rephrased the entire question in most of the cases.",Sensemaking 2,88.33,459,15,4.2,15,8,1,66.74,"['however', ',', 'could', 'rephrased', 'entire', 'question', 'cases', '.']","however , could rephrased entire question cases .",HD,Pass,7,2
"I can observe how you plan to improve these problematic questions, but you won't get a proper question simply by adding a new option/changing some words of the question. For example, Q3/4 has some ambiguity in the scale in terms of annotation, and the suggested improvement is still unclear to the audience unless you link it with",Sensemaking 1,88.33,459,62,4.42,62,30,2,51.01,"['observe', 'plan', 'improve', 'problematic', 'questions', ',', 'wo', ""n't"", 'get', 'proper', 'question', 'simply', 'adding', 'new', 'option/changing', 'words', 'question', '.', 'example', ',', 'q3/4', 'ambiguity', 'scale', 'terms', 'annotation', ',', 'suggested', 'improvement', 'still', 'unclear', 'audience', 'unless', 'link']","observe plan improve problematic questions , wo n't get proper question simply adding new option/changing words question . example , q3/4 ambiguity scale terms annotation , suggested improvement still unclear audience unless link",HD,Pass,6,2
"Q2. Similarly, you need to mention, are you ignoring the existing options/ is this an open-ended question? It's not clear in your answer as you touch both.",Impact 1,88.33,459,33,3.91,33,16,3,66.23,"['q2', '.', 'similarly', ',', 'need', 'mention', ',', 'ignoring', 'existing', 'options/', 'open-ended', 'question', '?', ""'s"", 'clear', 'answer', 'touch', '.']","q2 . similarly , need mention , ignoring existing options/ open-ended question ? 's clear answer touch .",HD,Pass,3,2
"Q7- is a double-barrelled question, and just by changing the title, the overall question could not be improved; it's better to state your refined question here to be more apparent.",Sensemaking 1,88.33,459,35,4.31,35,16,1,49.49,"['q7-', 'double-barrelled', 'question', ',', 'changing', 'title', ',', 'overall', 'question', 'could', 'improved', ';', ""'s"", 'better', 'state', 'refined', 'question', 'apparent', '.']","q7- double-barrelled question , changing title , overall question could improved ; 's better state refined question apparent .",HD,Pass,6,2
"Regarding Task 2, most of the questions are carefully designed without any major issue, but you added a scale for a frequency question (Q2).",Sensemaking 2,88.33,459,29,4.03,29,18,1,55.58,"['regarding', 'task', '2', ',', 'questions', 'carefully', 'designed', 'without', 'major', 'issue', ',', 'added', 'scale', 'frequency', 'question', '(', 'q2', ')', '.']","regarding task 2 , questions carefully designed without major issue , added scale frequency question ( q2 ) .",HD,Pass,7,2
"For this task for Week 5, you have identified more than six different open-ended prompts (different aspects) which are highly related to the selected topic, and they were in an appropriate order.",Sensemaking 1,88.33,459,37,4.43,37,19,1,39.0,"['task', 'week', '5', ',', 'identified', 'six', 'different', 'open-ended', 'prompts', '(', 'different', 'aspects', ')', 'highly', 'related', 'selected', 'topic', ',', 'appropriate', 'order', '.']","task week 5 , identified six different open-ended prompts ( different aspects ) highly related selected topic , appropriate order .",HD,Pass,6,2
"It is good that all your main questions, follow-up/probing questions, do not include any problematic factors, and they are not sensitive or complex.",Sensemaking 1,88.33,459,27,4.67,27,11,1,48.13,"['good', 'main', 'questions', ',', 'follow-up/probing', 'questions', ',', 'include', 'problematic', 'factors', ',', 'sensitive', 'complex', '.']","good main questions , follow-up/probing questions , include problematic factors , sensitive complex .",HD,Pass,6,2
"For the second part, it is nice that you summarised the interviewee's responses at times to confirm what you heard when they make a point/argument on a given factor.",Sensemaking 1,88.33,459,32,4.28,32,16,1,58.96,"['second', 'part', ',', 'nice', 'summarised', 'interviewee', ""'s"", 'responses', 'times', 'confirm', 'heard', 'make', 'point/argument', 'given', 'factor', '.']","second part , nice summarised interviewee 's responses times confirm heard make point/argument given factor .",HD,Pass,6,2
"Also, it is interesting to read your transcript as you asked probing questions that were not initially on the schedule to dig deeper into their response.",Sensemaking 1,88.33,459,28,4.57,28,14,1,53.55,"['also', ',', 'interesting', 'read', 'transcript', 'asked', 'probing', 'questions', 'initially', 'schedule', 'dig', 'deeper', 'response', '.']","also , interesting read transcript asked probing questions initially schedule dig deeper response .",HD,Pass,6,2
"In this section of the assignment, I can see that most of the codes describe latent issues, but some are still semantic (surface level).",Sensemaking 1,88.33,459,29,3.9,29,15,1,64.04,"['section', 'assignment', ',', 'see', 'codes', 'describe', 'latent', 'issues', ',', 'still', 'semantic', '(', 'surface', 'level', ')', '.']","section assignment , see codes describe latent issues , still semantic ( surface level ) .",HD,Pass,6,2
"In terms of improvements, the justification of the themes could have been detailed by describing all the codes briefly using 150 words.",Sensemaking 1,88.33,459,24,4.75,24,14,1,57.61,"['terms', 'improvements', ',', 'justification', 'themes', 'could', 'detailed', 'describing', 'codes', 'briefly', 'using', '150', 'words', '.']","terms improvements , justification themes could detailed describing codes briefly using 150 words .",HD,Pass,6,2
The justification lacks depth and abstraction as to why this matters to the wider theme.,Sensemaking 1,88.33,459,16,4.62,16,8,1,64.71,"['justification', 'lacks', 'depth', 'abstraction', 'matters', 'wider', 'theme', '.']",justification lacks depth abstraction matters wider theme .,HD,Pass,6,2
"You received 16 marks for Week 4, 18 marks for Week 5 and 19 marks for Week 6"" ",Agency 1,88.33,459,20,3.1,20,11,1,95.51,"['received', '16', 'marks', 'week', '4', ',', '18', 'marks', 'week', '5', '19', 'marks', 'week', '6', ""''""]","received 16 marks week 4 , 18 marks week 5 19 marks week 6 ''",HD,Pass,0,2
"Also, 600 words could be used to provide better explanation of ethical dimensions rather than writing the introduction.",Impact 1,85.0,460,20,5.1,20,15,1,36.28,"['also', ',', '600', 'words', 'could', 'used', 'provide', 'better', 'explanation', 'ethical', 'dimensions', 'rather', 'writing', 'introduction', '.']","also , 600 words could used provide better explanation ethical dimensions rather writing introduction .",HD,Pass,3,2
"Also, the example provided for informed consent could have been better.",Sensemaking 1,85.0,460,13,4.69,13,9,1,51.85,"['also', ',', 'example', 'provided', 'informed', 'consent', 'could', 'better', '.']","also , example provided informed consent could better .",HD,Pass,6,2
A suggestion - the justification of selecting papers could have been better instead of summarizing the abstract.,Sensemaking 1,85.0,460,18,5.33,18,11,1,21.4,"['suggestion', '-', 'justification', 'selecting', 'papers', 'could', 'better', 'instead', 'summarizing', 'abstract', '.']",suggestion - justification selecting papers could better instead summarizing abstract .,HD,Pass,6,2
"You received 16.3 marks for Week 1 and 17.8 marks for Week 3."" ",Agency 1,85.0,460,15,3.4,15,9,1,92.12,"['received', '16.3', 'marks', 'week', '1', '17.8', 'marks', 'week', '3', '.', ""''""]",received 16.3 marks week 1 17.8 marks week 3 . '',HD,Pass,0,2
"There are few improvements which can be done to make the improved question better. For example, the last question did not have any issues with it.",Sensemaking 1,76.67,461,29,4.17,29,11,2,83.66,"['improvements', 'done', 'make', 'improved', 'question', 'better', '.', 'example', ',', 'last', 'question', 'issues', '.']","improvements done make improved question better . example , last question issues .",D,Pass,6,1
"Also, the first improved question was still a leading question.",Sensemaking 1,76.67,461,12,4.5,12,8,1,69.79,"['also', ',', 'first', 'improved', 'question', 'still', 'leading', 'question', '.']","also , first improved question still leading question .",D,Pass,6,1
"Also, it is a good practice during the interview that you summarise the interviewees response before asking the next question as it confirms what they meant when they answered the previous question",Sensemaking 1,76.67,461,33,5.03,33,15,1,39.0,"['also', ',', 'good', 'practice', 'interview', 'summarise', 'interviewees', 'response', 'asking', 'next', 'question', 'confirms', 'meant', 'answered', 'previous', 'question']","also , good practice interview summarise interviewees response asking next question confirms meant answered previous question",D,Pass,6,1
"Also, the description of codes could have been better and two quotes have been provided which were appropriate.",Sensemaking 1,76.67,461,20,4.7,20,11,1,61.67,"['also', ',', 'description', 'codes', 'could', 'better', 'two', 'quotes', 'provided', 'appropriate', '.']","also , description codes could better two quotes provided appropriate .",D,Pass,6,1
"You received 15 marks for Week 4, 15 marks for Week 5 and 15 marks for Week 6"" ",Agency 1,76.67,461,20,3.1,20,9,1,95.51,"['received', '15', 'marks', 'week', '4', ',', '15', 'marks', 'week', '5', '15', 'marks', 'week', '6', ""''""]","received 15 marks week 4 , 15 marks week 5 15 marks week 6 ''",D,Pass,0,1
"You have correctly calculated the Sample Standard Deviation, Interquartile Range with a clear and detailed working out for all of them.",Sensemaking 1,93.33,462,23,5.0,23,12,1,41.7,"['correctly', 'calculated', 'sample', 'standard', 'deviation', ',', 'interquartile', 'range', 'clear', 'detailed', 'working', '.']","correctly calculated sample standard deviation , interquartile range clear detailed working .",HD,Pass,6,2
"However, the value for the population STD is not shown.",Sensemaking 1,93.33,462,12,3.83,12,7,1,61.33,"['however', ',', 'value', 'population', 'std', 'shown', '.']","however , value population std shown .",HD,Pass,6,2
"The MATLAB commands are all correct, and the boxplot is also displayed appropriately, with correctly labelled axes, an appropriate title, with correct annotations on the graph.",Sensemaking 1,93.33,462,31,4.87,31,16,1,28.17,"['matlab', 'commands', 'correct', ',', 'boxplot', 'also', 'displayed', 'appropriately', ',', 'correctly', 'labelled', 'axes', ',', 'appropriate', 'title', ',', 'correct', 'annotations', 'graph', '.']","matlab commands correct , boxplot also displayed appropriately , correctly labelled axes , appropriate title , correct annotations graph .",HD,Pass,6,2
"Discussions of the choice of statistical test and limitations are all well-articulated, but there is room for further elaboration (especially for the statistical test and further research parts).",Sensemaking 1,93.33,462,32,5.25,32,15,1,17.68,"['discussions', 'choice', 'statistical', 'test', 'limitations', 'well-articulated', ',', 'room', 'elaboration', '(', 'especially', 'statistical', 'test', 'research', 'parts', ')', '.']","discussions choice statistical test limitations well-articulated , room elaboration ( especially statistical test research parts ) .",HD,Pass,6,2
"You received 19 marks for Week 7, 19 marks for Week 8 and 18 marks for Week 9"" ",Agency 1,93.33,462,20,3.1,20,10,1,95.51,"['received', '19', 'marks', 'week', '7', ',', '19', 'marks', 'week', '8', '18', 'marks', 'week', '9', ""''""]","received 19 marks week 7 , 19 marks week 8 18 marks week 9 ''",HD,Pass,0,2
"For Week 10-11, the language and audio are good Dushyant Singh Raghav.",Sensemaking 1,48.33,463,14,4.21,14,10,1,93.14,"['week', '10-11', ',', 'language', 'audio', 'good', 'dushyant', 'singh', 'raghav', '.']","week 10-11 , language audio good dushyant singh raghav .",N,Fail,6,3
"However, the story, content, and visual representation is below the expected level as you have used a set of four slides for all the beats, which are not even in slide show mode.",Sensemaking 1,48.33,463,38,3.84,38,18,1,54.9,"['however', ',', 'story', ',', 'content', ',', 'visual', 'representation', 'expected', 'level', 'used', 'set', 'four', 'slides', 'beats', ',', 'even', 'slide', 'show', 'mode', '.']","however , story , content , visual representation expected level used set four slides beats , even slide show mode .",N,Fail,6,3
We expect you to create live content and use video footage and images where possible.,Impact 2,48.33,463,16,4.44,16,10,1,73.17,"['expect', 'create', 'live', 'content', 'use', 'video', 'footage', 'images', 'possible', '.']",expect create live content use video footage images possible .,N,Fail,4,3
"Then, if you look at your third and fourth, they are too long, conveying a little meaningful amount of content. It was just a presentation, not a narrative. Please read the assignment specifications properly.",Sensemaking 1,48.33,463,41,4.27,41,18,3,60.01,"[',', 'look', 'third', 'fourth', ',', 'long', ',', 'conveying', 'little', 'meaningful', 'amount', 'content', '.', 'presentation', ',', 'narrative', '.', 'please', 'read', 'assignment', 'specifications', 'properly', '.']",", look third fourth , long , conveying little meaningful amount content . presentation , narrative . please read assignment specifications properly .",N,Fail,6,3
"Moreover, the research communication is not sufficient in terms of content (the script). You could have concluded your video in a more welcoming manner to grab the attention of potential funding bodies rather than just telling the properties/features.",Sensemaking 1,48.33,463,43,4.98,43,24,2,52.19,"['moreover', ',', 'research', 'communication', 'sufficient', 'terms', 'content', '(', 'script', ')', '.', 'could', 'concluded', 'video', 'welcoming', 'manner', 'grab', 'attention', 'potential', 'funding', 'bodies', 'rather', 'telling', 'properties/features', '.']","moreover , research communication sufficient terms content ( script ) . could concluded video welcoming manner grab attention potential funding bodies rather telling properties/features .",N,Fail,6,3
"For the week 12 task, you have discussed the background, potential solution and the impact of the research well, but more clarification/justification was required.",Sensemaking 1,48.33,463,28,5.0,28,14,1,30.2,"['week', '12', 'task', ',', 'discussed', 'background', ',', 'potential', 'solution', 'impact', 'research', 'well', ',', 'clarification/justification', 'required', '.']","week 12 task , discussed background , potential solution impact research well , clarification/justification required .",N,Fail,6,3
Some key areas for improvement include,Agency 1,48.33,463,6,5.5,6,4,1,56.93,"['key', 'areas', 'improvement', 'include']",key areas improvement include,N,Fail,0,3
"Also, it would be best if you framed your justification properly while discussing the standard rules for patent decisions, e.g. novelty, usefulness, not only mentioning 'algorithms are used to analyze the data while analyzing big data analytics'. In other words, how it is a novel idea is unclear from your submission.",Impact 1,48.33,463,60,4.47,60,30,3,37.13,"['also', ',', 'would', 'best', 'framed', 'justification', 'properly', 'discussing', 'standard', 'rules', 'patent', 'decisions', ',', 'e.g', '.', 'novelty', ',', 'usefulness', ',', 'mentioning', ""'algorithms"", 'used', 'analyze', 'data', 'analyzing', 'big', 'data', 'analytics', ""'"", '.', 'words', ',', 'novel', 'idea', 'unclear', 'submission', '.']","also , would best framed justification properly discussing standard rules patent decisions , e.g . novelty , usefulness , mentioning 'algorithms used analyze data analyzing big data analytics ' . words , novel idea unclear submission .",N,Fail,3,3
