,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode,Rubric_new,Rubric_unq,RubricCount,Elements,ElementCount,WordCount
3280,"You received 18 marks for Week 4, 13 marks for Week 5 and 13 marks for Week 6"" 75","You received 18 marks for Week 4, 13 marks for Week 5 and 13 marks for Week 6"" ",Agency 1,75,452,Sensemaking2 Sensemaking1 Sensemaking1 Agency2 Agency2 Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Sensemaking2 Sensemaking1 Impact1 Impact1 Sensemaking1 Agency1,Sensemaking2 Sensemaking1 Agency2 Impact1 Agency1,5,Sensemaking Agency Impact,3,18
3288,"You received 15.6 marks for Week 1 and 15.9 marks for Week 3."" 77.5","You received 15.6 marks for Week 1 and 15.9 marks for Week 3."" ",Agency 1,77.5,453,Sensemaking2 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Impact1 Agency1,Sensemaking2 Sensemaking1 Agency2 Impact1 Agency1,5,Sensemaking Agency Impact,3,13
3299,"You received 3 marks for Week 7, 14 marks for Week 8 and 15 marks for Week 9"" 53.33","You received 3 marks for Week 7, 14 marks for Week 8 and 15 marks for Week 9"" ",Agency 1,53.33,454,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Agency1,2,Sensemaking Agency,2,18
3305,"You received 16.7 marks for Week 1 and 19.1 marks for Week 3."" 90","You received 16.7 marks for Week 1 and 19.1 marks for Week 3."" ",Agency 1,90,455,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Agency1,2,Sensemaking Agency,2,13
3321,"You received 18 marks for Week 7, 17 marks for Week 8 and 17 marks for Week 9"" 86.67","You received 18 marks for Week 7, 17 marks for Week 8 and 17 marks for Week 9"" ",Agency 1,86.67,456,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency3 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Agency1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Agency2 Agency1,Sensemaking1 Agency3 Impact1 Agency1 Sensemaking2 Agency2,6,Sensemaking Agency Impact,3,18
3340,"You received 16 marks for Week 4, 8 marks for Week 5 and 11 marks for Week 6"" 58.33","You received 16 marks for Week 4, 8 marks for Week 5 and 11 marks for Week 6"" ",Agency 1,58.33,457,Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact3 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact3 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Impact1 Impact3 Sensemaking2 Agency1,5,Sensemaking Impact Agency,3,18
3353,"You received 41 marks for Week 10 and 11 and 9 marks for Week 12"" 83.33","You received 41 marks for Week 10 and 11 and 9 marks for Week 12"" ",Agency 1,83.33,458,Sensemaking2 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Agency2 Sensemaking1 Sensemaking1 Agency1,Sensemaking2 Agency2 Sensemaking1 Impact1 Agency1,5,Sensemaking Agency Impact,3,15
3367,"You received 16 marks for Week 4, 18 marks for Week 5 and 19 marks for Week 6"" 88.33","You received 16 marks for Week 4, 18 marks for Week 5 and 19 marks for Week 6"" ",Agency 1,88.33,459,Sensemaking1 Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Sensemaking2 Impact1 Agency1,4,Sensemaking Impact Agency,3,18
3374,"You received 16.3 marks for Week 1 and 17.8 marks for Week 3."" 85","You received 16.3 marks for Week 1 and 17.8 marks for Week 3."" ",Agency 1,85,460,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,13
3387,"You received 15 marks for Week 4, 15 marks for Week 5 and 15 marks for Week 6"" 76.67","You received 15 marks for Week 4, 15 marks for Week 5 and 15 marks for Week 6"" ",Agency 1,76.67,461,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Sensemaking2 Agency1,3,Sensemaking Agency,2,18
3398,"You received 19 marks for Week 7, 19 marks for Week 8 and 18 marks for Week 9"" 93.33","You received 19 marks for Week 7, 19 marks for Week 8 and 18 marks for Week 9"" ",Agency 1,93.33,462,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Agency1,2,Sensemaking Agency,2,18
3412,"You received 23 marks for Week 10 and 11 and 6 marks for Week 12"" 48.33","You received 23 marks for Week 10 and 11 and 6 marks for Week 12"" ",Agency 1,48.33,463,Sensemaking1 Sensemaking1 Impact2 Sensemaking1 Impact2 Sensemaking1 Impact1 Impact2 Sensemaking1 Agency1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Agency1 Agency1,Sensemaking1 Impact2 Impact1 Agency1,4,Sensemaking Impact Agency,3,15
3436,"You received 12 marks for Week 4, 18 marks for Week 5 and 14 marks for Week 6"" 73.33","You received 12 marks for Week 4, 18 marks for Week 5 and 14 marks for Week 6"" ",Agency 1,73.33,464,Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2 Impact3 Sensemaking1 Agency1 Sensemaking2 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Agency2 Agency1 Agency1,Sensemaking2 Sensemaking1 Impact1 Impact3 Agency1 Agency2,6,Sensemaking Impact Agency,3,18
3448,"You received 20 marks for Week 7, 13 marks for Week 8 and 12 marks for Week 9"" 75","You received 20 marks for Week 7, 13 marks for Week 8 and 12 marks for Week 9"" ",Agency 1,75,465,Agency2 Sensemaking1 Sensemaking2 Agency2 Sensemaking2 Sensemaking1 Impact1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Agency2 Sensemaking1 Sensemaking2 Impact1 Agency1,5,Agency Sensemaking Impact,3,18
3459,"You received 16.4 marks for Week 1 and 13 marks for Week 3."" 72.5","You received 16.4 marks for Week 1 and 13 marks for Week 3."" ",Agency 1,72.5,466,Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency1,4,Sensemaking Impact Agency,3,13
3482,"You received 10 marks for Week 4, 12 marks for Week 5 and 15 marks for Week 6"" 61.67","You received 10 marks for Week 4, 12 marks for Week 5 and 15 marks for Week 6"" ",Agency 1,61.67,467,Impact1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking2 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Agency1,Impact1 Sensemaking1 Sensemaking2 Agency1,4,Impact Sensemaking Agency,3,18
3495,"You received 16 marks for Week 4, 8 marks for Week 5 and 16 marks for Week 6"" 66.67","You received 16 marks for Week 4, 8 marks for Week 5 and 16 marks for Week 6"" ",Agency 1,66.67,468,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Agency1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,18
3506,"You received 20 marks for Week 4, 20 marks for Week 5 and 19 marks for Week 6"" 98.33","You received 20 marks for Week 4, 20 marks for Week 5 and 19 marks for Week 6"" ",Agency 1,98.33,469,Sensemaking1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Agency1,Sensemaking1 Impact1 Sensemaking2 Agency1,4,Sensemaking Impact Agency,3,18
3520,"You received 17 marks for Week 4, 14 marks for Week 5 and 17 marks for Week 6"" 80","You received 17 marks for Week 4, 14 marks for Week 5 and 17 marks for Week 6"" ",Agency 1,80,470,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Sensemaking2 Agency1,3,Sensemaking Agency,2,18
3529,"You received 14.8 marks for Week 1 and 14 marks for Week 3."" 72.5","You received 14.8 marks for Week 1 and 14 marks for Week 3."" ",Agency 1,72.5,471,Sensemaking2 Sensemaking1 Impact1 Agency1 Agency1 Sensemaking1 Sensemaking2 Sensemaking1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency1,4,Sensemaking Impact Agency,3,13
3543,"You received 16 marks for Week 4, 9 marks for Week 5 and 18 marks for Week 6"" 71.67","You received 16 marks for Week 4, 9 marks for Week 5 and 18 marks for Week 6"" ",Agency 1,71.67,472,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact3 Sensemaking1 Agency1,Sensemaking1 Impact1 Sensemaking2 Impact3 Agency1,5,Sensemaking Impact Agency,3,18
3559,"You received 17 marks for Week 4, 10 marks for Week 5 and 17 marks for Week 6"" 73.33","You received 17 marks for Week 4, 10 marks for Week 5 and 17 marks for Week 6"" ",Agency 1,73.33,473,Sensemaking2 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency1,4,Sensemaking Impact Agency,3,18
3574,"You received 15 marks for Week 1 and 17 marks for Week 3."" 80","You received 15 marks for Week 1 and 17 marks for Week 3."" ",Agency 1,80,474,Impact2 Sensemaking2 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact2 Agency1,Impact2 Sensemaking2 Sensemaking1 Impact1 Agency1,5,Impact Sensemaking Agency,3,13
3594,"You received 14 marks for Week 4, 11 marks for Week 5 and 18 marks for Week 6"" 71.67","You received 14 marks for Week 4, 11 marks for Week 5 and 18 marks for Week 6"" ",Agency 1,71.67,475,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking2 Sensemaking2 Sensemaking1 Impact1 Impact3 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency2 Impact3 Agency1,6,Sensemaking Impact Agency,3,18
3609,"You received 16 marks for Week 7, 15 marks for Week 8 and 18 marks for Week 9"" 81.67","You received 16 marks for Week 7, 15 marks for Week 8 and 18 marks for Week 9"" ",Agency 1,81.67,476,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Agency3 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Agency2 Agency1,Sensemaking1 Impact1 Agency3 Agency1 Sensemaking2 Agency2,6,Sensemaking Impact Agency,3,18
3623,"You received 10 marks for Week 7, 10 marks for Week 8 and 16 marks for Week 9"" 60","You received 10 marks for Week 7, 10 marks for Week 8 and 16 marks for Week 9"" ",Agency 1,60,477,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Impact1 Sensemaking2 Agency1,4,Sensemaking Impact Agency,3,18
3634,"You received 18 marks for Week 4, 16 marks for Week 5 and 12 marks for Week 6"" 78.33","You received 18 marks for Week 4, 16 marks for Week 5 and 12 marks for Week 6"" ",Agency 1,78.33,478,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Impact1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Agency1,Sensemaking1 Impact1 Agency1,3,Sensemaking Impact Agency,3,18
3654,"You received 14 marks for Week 4, 10 marks for Week 5 and 15 marks for Week 6"" 66.67","You received 14 marks for Week 4, 10 marks for Week 5 and 15 marks for Week 6"" ",Agency 1,66.67,479,Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Sensemaking1 Agency1,Sensemaking2 Sensemaking1 Impact1 Agency1,4,Sensemaking Impact Agency,3,18
3667,"You received 37 marks for Week 10 and 11 and 9 marks for Week 12"" 76.67","You received 37 marks for Week 10 and 11 and 9 marks for Week 12"" ",Agency 1,76.67,480,Agency2 Agency1 Impact3 Impact1 Sensemaking1 Sensemaking1 Impact1 Agency2 Sensemaking2 Agency1 Sensemaking1 Sensemaking1 Impact1 Agency1,Agency2 Agency1 Impact3 Impact1 Sensemaking1 Sensemaking2,6,Agency Impact Sensemaking,3,15
3676,"You received 16 marks for Week 7, 20 marks for Week 8 and 20 marks for Week 9"" 93.33","You received 16 marks for Week 7, 20 marks for Week 8 and 20 marks for Week 9"" ",Agency 1,93.33,481,Sensemaking1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1,Sensemaking1 Sensemaking2 Agency1,3,Sensemaking Agency,2,18
3682,"You received 17.9 marks for Week 1 and 12.3 marks for Week 3."" 75","You received 17.9 marks for Week 1 and 12.3 marks for Week 3."" ",Sensemaking 2,75,482,Sensemaking1 Sensemaking1 Impact1 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,13
3697,"You received 17 marks for Week 4, 13 marks for Week 5 and 16 marks for Week 6"" 75","You received 17 marks for Week 4, 13 marks for Week 5 and 16 marks for Week 6"" ",Sensemaking 2,75,483,Agency3 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking2 Agency3 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Agency3 Sensemaking2,Agency3 Sensemaking1 Impact1 Sensemaking2,4,Agency Sensemaking Impact,3,18
3709,"You received 10 marks for Week 7, 7 marks for Week 8 and 20 marks for Week 9"" 61.67","You received 10 marks for Week 7, 7 marks for Week 8 and 20 marks for Week 9"" ",Sensemaking 2,61.67,484,Sensemaking1 Impact1 Sensemaking1 Impact1 Impact1 Agency1 Agency1 Sensemaking1 Impact1 Agency3 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Agency1 Agency3 Sensemaking2,5,Sensemaking Impact Agency,3,18
3722,"You received 9 marks for Week 7, 15 marks for Week 8 and 18 marks for Week 9"" 70","You received 9 marks for Week 7, 15 marks for Week 8 and 18 marks for Week 9"" ",Sensemaking 2,70,485,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,18
3736,"You received 13 marks for Week 4, 18 marks for Week 5 and 19 marks for Week 6"" 83.33","You received 13 marks for Week 4, 18 marks for Week 5 and 19 marks for Week 6"" ",Sensemaking 2,83.33,486,Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Sensemaking2,Sensemaking1 Impact1 Agency1 Sensemaking2,4,Sensemaking Impact Agency,3,18
3753,"You received 18 marks for Week 7, 13 marks for Week 8 and 17 marks for Week 9"" 80","You received 18 marks for Week 7, 13 marks for Week 8 and 17 marks for Week 9"" ",Sensemaking 2,80,487,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,18
3763,"You received 16 marks for Week 4, 20 marks for Week 5 and 13 marks for Week 6"" 81.67","You received 16 marks for Week 4, 20 marks for Week 5 and 13 marks for Week 6"" ",Sensemaking 2,81.67,488,Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking2,Impact1 Sensemaking1 Sensemaking2,3,Impact Sensemaking,2,18
3771,"You received 15 marks for Week 7, 20 marks for Week 8 and 17 marks for Week 9"" 86.67","You received 15 marks for Week 7, 20 marks for Week 8 and 17 marks for Week 9"" ",Sensemaking 2,86.67,489,Sensemaking1 Agency2 Impact1 Impact1 Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking2,Sensemaking1 Agency2 Impact1 Sensemaking2,4,Sensemaking Agency Impact,3,18
3791,"You received 36 marks for Week 10 and 11 and 7 marks for Week 12"" 70","You received 36 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,70,490,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Sensemaking1 Agency1 Sensemaking2,Agency2 Sensemaking1 Agency1 Sensemaking2,4,Agency Sensemaking,2,15
3809,"You received 15 marks for Week 4, 11 marks for Week 5 and 16 marks for Week 6"" 70","You received 15 marks for Week 4, 11 marks for Week 5 and 16 marks for Week 6"" ",Sensemaking 2,70,491,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,18
3818,"You received 38 marks for Week 10 and 11 and 9 marks for Week 12"" 76.67","You received 38 marks for Week 10 and 11 and 9 marks for Week 12"" ",Sensemaking 2,76.67,492,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Agency1 Sensemaking2,3,Sensemaking Agency,2,15
3828,"You received 38 marks for Week 10 and 11 and 7 marks for Week 12"" 76.67","You received 38 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,76.67,493,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Agency1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Agency1 Sensemaking2,4,Sensemaking Impact Agency,3,15
3844,"You received 17 marks for Week 4, 14 marks for Week 5 and 20 marks for Week 6"" 85","You received 17 marks for Week 4, 14 marks for Week 5 and 20 marks for Week 6"" ",Sensemaking 2,85,494,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,18
3851,"You received 34 marks for Week 10 and 11 and 7 marks for Week 12"" 68.33","You received 34 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,68.33,495,Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,15
3855,"You received 24 marks for Week 10 and 11 and 8 marks for Week 12"" 55","You received 24 marks for Week 10 and 11 and 8 marks for Week 12"" ",Sensemaking 2,55,496,Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,15
3871,"You received 39 marks for Week 10 and 11 and 7 marks for Week 12"" 76.67","You received 39 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,76.67,497,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Agency1 Impact1 Sensemaking1 Impact1 Sensemaking2,Sensemaking1 Impact1 Agency1 Sensemaking2,4,Sensemaking Impact Agency,3,15
3881,"You received 16 marks for Week 7, 17 marks for Week 8 and 10 marks for Week 9"" 71.67","You received 16 marks for Week 7, 17 marks for Week 8 and 10 marks for Week 9"" ",Sensemaking 2,71.67,498,Sensemaking1 Sensemaking1 Agency2 Sensemaking1 Impact1 Sensemaking1 Agency3 Sensemaking1 Impact1 Sensemaking1 Impact2 Sensemaking1 Agency3 Sensemaking2,Sensemaking1 Agency2 Impact1 Agency3 Impact2 Sensemaking2,6,Sensemaking Agency Impact,3,18
3890,"You received 34 marks for Week 10 and 11 and 7 marks for Week 12"" 68.33","You received 34 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,68.33,499,Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,15
3898,"You received 17 marks for Week 1 and 15.5 marks for Week 3."" 80","You received 17 marks for Week 1 and 15.5 marks for Week 3."" ",Sensemaking 2,80,500,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,13
3908,"You received 15 marks for Week 7, 18 marks for Week 8 and 19 marks for Week 9"" 86.67","You received 15 marks for Week 7, 18 marks for Week 8 and 19 marks for Week 9"" ",Sensemaking 2,86.67,501,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Sensemaking2,2,Sensemaking,1,18
3918,"You received 20 marks for Week 7, 16 marks for Week 8 and 18 marks for Week 9"" 90","You received 20 marks for Week 7, 16 marks for Week 8 and 18 marks for Week 9"" ",Sensemaking 2,90,502,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact3 Sensemaking1 Impact1 Sensemaking1 Agency2 Sensemaking2,Sensemaking1 Impact1 Impact3 Agency2 Sensemaking2,5,Sensemaking Impact Agency,3,18
3933,"You received 14 marks for Week 4, 18 marks for Week 5 and 15 marks for Week 6"" 78.33","You received 14 marks for Week 4, 18 marks for Week 5 and 15 marks for Week 6"" ",Sensemaking 2,78.33,503,Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,18
3937,"You received 15.3 marks for Week 1 and 16.6 marks for Week 3."" 80","You received 15.3 marks for Week 1 and 16.6 marks for Week 3."" ",Sensemaking 2,80,504,Sensemaking1 Impact1 Impact3 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Impact3 Sensemaking2,4,Sensemaking Impact,2,13
3944,"You received 40 marks for Week 10 and 11 and 10 marks for Week 12"" 83.33","You received 40 marks for Week 10 and 11 and 10 marks for Week 12"" ",Sensemaking 2,83.33,505,Sensemaking1 Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Sensemaking2,Sensemaking1 Agency2 Sensemaking2,3,Sensemaking Agency,2,15
3959,"You received 10 marks for Week 7, 13 marks for Week 8 and 11 marks for Week 9"" 56.67","You received 10 marks for Week 7, 13 marks for Week 8 and 11 marks for Week 9"" ",Sensemaking 2,56.67,506,Sensemaking1 Sensemaking1 Sensemaking1 Agency3 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency2 Sensemaking2,Sensemaking1 Agency3 Agency2 Sensemaking2,4,Sensemaking Agency,2,18
3969,"You received 37 marks for Week 10 and 11 and 8 marks for Week 12"" 75","You received 37 marks for Week 10 and 11 and 8 marks for Week 12"" ",Sensemaking 2,75,507,Impact1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking2,Impact1 Sensemaking1 Sensemaking2,3,Impact Sensemaking,2,15
3986,"You received 37 marks for Week 10 and 11 and 7 marks for Week 12"" 73.33","You received 37 marks for Week 10 and 11 and 7 marks for Week 12"" ",Sensemaking 2,73.33,508,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Impact1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,15
3999,"You received 38 marks for Week 10 and 11 and 9 marks for Week 12"" 78.33","You received 38 marks for Week 10 and 11 and 9 marks for Week 12"" ",Sensemaking 2,78.33,509,Agency2 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Agency3 Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking2 Agency3 Sensemaking2,Agency2 Sensemaking1 Agency3 Sensemaking2,4,Agency Sensemaking,2,15
4008,"You received 18.5 marks for Week 1 and 19.6 marks for Week 3."" 95","You received 18.5 marks for Week 1 and 19.6 marks for Week 3."" ",Sensemaking 2,95,510,Sensemaking1 Sensemaking1 Sensemaking1 Sensemaking1 Impact1 Impact1 Sensemaking2 Sensemaking1 Sensemaking1 Sensemaking2,Sensemaking1 Impact1 Sensemaking2,3,Sensemaking Impact,2,13
4012,B5a: The number of headlines for each topic is incorrect. 88,B5a: The number of headlines for each topic is incorrect.,Sensemaking 1,88,511,Agency2 Impact1 Sensemaking1 Sensemaking1,Agency2 Impact1 Sensemaking1,3,Agency Impact Sensemaking,3,10
4013,Not a novel or creative idea 80,Not a novel or creative idea,Sensemaking 2,80,512,Sensemaking2,Sensemaking2,1,Sensemaking,1,6
