,SentenceLabelRem,SentenceScoreRem,Rubric,Score,FeedbackCode
2528,It's good that you considered citation quality indicator in the first paper.,It's good that you considered citation quality indicator in the first paper.,Sensemaking 1,67.5,391
2529,You could have compared the chosen papers on their similarities/differences/the importance more critically in terms of relevance.,You could have compared the chosen papers on their similarities/differences/the importance more critically in terms of relevance.,Sensemaking 1,67.5,391
2530,"The justifications are very abstract in your answer and roughly summarise the abstract's content, which cannot be considered a critically analysed answer. (Especially the last justification)","The justifications are very abstract in your answer and roughly summarise the abstract's content, which cannot be considered a critically analysed answer. (Especially the last justification)",Sensemaking 1,67.5,391
2531,It would help if you emphasised the connection between the two papers.,It would help if you emphasised the connection between the two papers.,Impact 1,67.5,391
2532,"If you read the given paper more closely, you'll identify how to connect the abstract with the approach/research design/focus group/concept of the key paper.","If you read the given paper more closely, you'll identify how to connect the abstract with the approach/research design/focus group/concept of the key paper.",Impact 1,67.5,391
2533,"As per assignment guidelines, you were supposed to rank five papers that have cited the given paper.","As per assignment guidelines, you were supposed to rank five papers that have cited the given paper.",Sensemaking 2,67.5,391
2534,"However, you do not explicitly explain in your own words how you ranked them in this order in addition to the numbering in the first column. It seems you ordered them randomly and missed the whole point of performing this task.","However, you do not explicitly explain in your own words how you ranked them in this order in addition to the numbering in the first column. It seems you ordered them randomly and missed the whole point of performing this task.",Sensemaking 1,67.5,391
2535,"In addition, pay close attention to your writing.","In addition, pay close attention to your writing.",Impact 3,67.5,391
2536,"You received 12.6 marks for Week 1 and 14 marks for Week 3."" 67.5","You received 12.6 marks for Week 1 and 14 marks for Week 3."" ",Agency 1,67.5,391
2537,"The calculation results for the population std, IQR, and sample std are all correct.","The calculation results for the population std, IQR, and sample std are all correct.",Sensemaking 1,65,392
2538,"However, the MATLAB command lines are not complete.","However, the MATLAB command lines are not complete.",Sensemaking 1,65,392
2539,One recommendation is to put more annotations/comments along with your calculations for std and IQR using MatLab Scripts (start comments with % sign).,One recommendation is to put more annotations/comments along with your calculations for std and IQR using MatLab Scripts (start comments with % sign).,Impact 1,65,392
2540,"It's good that you explain all the hidden steps as you directly used the built-in functions, but it should be written as part of the script, explaining each line. For example, you could explain what the interquartile range Q1 and Q3 means for the measure of the Interquartile Range.","It's good that you explain all the hidden steps as you directly used the built-in functions, but it should be written as part of the script, explaining each line. For example, you could explain what the interquartile range Q1 and Q3 means for the measure of the Interquartile Range.",Sensemaking 1&Impact 1,65,392
2541,"Also, you could have labelled the Min, Max, Q1, Q2 and Q3 on your boxplot diagram.","Also, you could have labelled the Min, Max, Q1, Q2 and Q3 on your boxplot diagram.",Sensemaking 1,65,392
2542,"For this section of the assignment, you haven't effectively stated your Hypothesis.","For this section of the assignment, you haven't effectively stated your Hypothesis.",Sensemaking 1,65,392
2543,The wordings of your H1 could have been tweaked as it is a question.,The wordings of your H1 could have been tweaked as it is a question.,Sensemaking 1,65,392
2544,"As per the assignment guideline, the Hypothesis doesn't relate to the scenario.","As per the assignment guideline, the Hypothesis doesn't relate to the scenario.",Sensemaking 2,65,392
2545,"Also, Ho is similar to H1.","Also, Ho is similar to H1.",Sensemaking 1,65,392
2546,"All the variables match with H1; however, your data collection strategy doesn't include the income variable as you only talk about the before and after effects of one variable. Thereby, the independent variable should be exercise level, and the dependent variable should be heartbeat/blood pressure level.","All the variables match with H1; however, your data collection strategy doesn't include the income variable as you only talk about the before and after effects of one variable. Thereby, the independent variable should be exercise level, and the dependent variable should be heartbeat/blood pressure level.",Sensemaking 1&Impact 1,65,392
2547,"The statistical test selection is good and to the point, but it is not feasible in terms of money and time.","The statistical test selection is good and to the point, but it is not feasible in terms of money and time.",Sensemaking 1,65,392
2548,Better to have a breakdown as to how you are spending the money/time.,Better to have a breakdown as to how you are spending the money/time.,Impact 1,65,392
2549,"Some of the study's limitations are discussed, but a little discussion on mitigation and future investigations.","Some of the study's limitations are discussed, but a little discussion on mitigation and future investigations.",Sensemaking 1,65,392
2550,"For this section of the assignment, your grid and the accuracy is entirely correct.","For this section of the assignment, your grid and the accuracy is entirely correct.",Sensemaking 1,65,392
2551,"However, the working out is not visible for the confusion matrix (the way you have counted each element by hand).","However, the working out is not visible for the confusion matrix (the way you have counted each element by hand).",Sensemaking 1,65,392
2552,"Your justification is appropriate but could have been compared with other methods, discrimination, or sampling limits in detail.","Your justification is appropriate but could have been compared with other methods, discrimination, or sampling limits in detail.",Sensemaking 1,65,392
2553,"However, you've got correct answers for precision, recall and F1-score.","However, you've got correct answers for precision, recall and F1-score.",Sensemaking 1,65,392
2554,"You received 13 marks for Week 7, 11 marks for Week 8 and 15 marks for Week 9"" 65","You received 13 marks for Week 7, 11 marks for Week 8 and 15 marks for Week 9"" ",Agency 1,65,392
2555,"For task 1, you selected Question 12, and you should not select it as a problematic question.","For task 1, you selected Question 12, and you should not select it as a problematic question.",Sensemaking 1,71.67,393
2556,You could have elaborated the suggested improvement on the questions you selected with corresponding reasons while rephrasing the problematic questions in your own words with examples.,You could have elaborated the suggested improvement on the questions you selected with corresponding reasons while rephrasing the problematic questions in your own words with examples.,Sensemaking 1,71.67,393
2557,"For task 2, question 2s options are quite vague. You could provide more detailed options in terms of each dimension such as studies, food-related information and transportation. To improve this, you could elaborate the reasons for choosing these questions and discuss the correlation between the questions and the research topic.","For task 2, question 2s options are quite vague. You could provide more detailed options in terms of each dimension such as studies, food-related information and transportation. To improve this, you could elaborate the reasons for choosing these questions and discuss the correlation between the questions and the research topic.",Sensemaking 1&Impact 1,71.67,393
2558,"use plain English where possible, and this will allow the respondent to complete the questionnaire quickly","use plain English where possible, and this will allow the respondent to complete the questionnaire quickly",Impact 1,71.67,393
2559,"How does your university help you? Is a leading question, as participants may not gain any help from the university. You may need to put this question as the sub-question of question 6. 14.","How does your university help you? Is a leading question, as participants may not gain any help from the university. You may need to put this question as the sub-question of question 6. 14.",Sensemaking 1&Impact 1,71.67,393
2560,"Have you ever joined societies? Do you think they help you? is a double-barrelled question, you should only ask one question once and do not ask multiple questions at the same time, which is hard for the interviewee to answer your questions.","Have you ever joined societies? Do you think they help you? is a double-barrelled question, you should only ask one question once and do not ask multiple questions at the same time, which is hard for the interviewee to answer your questions.",Sensemaking 1&Impact 1,71.67,393
2561,Your participants may have different opinions about different societies. You should ask each society one after one to gain more details.,Your participants may have different opinions about different societies. You should ask each society one after one to gain more details.,Impact 1,71.67,393
2562,You should also pay attention to the logic of the questions.,You should also pay attention to the logic of the questions.,Impact 1,71.67,393
2563,you assume your participants would exprienced the same scenarios you described.,you assume your participants would exprienced the same scenarios you described.,Sensemaking 1,71.67,393
2564,"Browse the website is a semantic code, which only refers to what the content that the interview participants described and stays on the surface level.","Browse the website is a semantic code, which only refers to what the content that the interview participants described and stays on the surface level.",Sensemaking 1,71.67,393
2565,"The codes and themes should capture underlying ideas, patterns, and assumptions that go beyond the surface. This requires a more interpretative and conceptual orientation to the data.","The codes and themes should capture underlying ideas, patterns, and assumptions that go beyond the surface. This requires a more interpretative and conceptual orientation to the data.",Impact 1,71.67,393
2566,One suggestion to improve the codes is to revisit the data again and again after a while and try to get more familiar with the hidden insights and underlying ideas. the theme makes sense in relation to them.,One suggestion to improve the codes is to revisit the data again and again after a while and try to get more familiar with the hidden insights and underlying ideas. the theme makes sense in relation to them.,Impact 1,71.67,393
2567,"For code Communicate with other students, the description More than one interviewee got information from their interactions with other students does not help the readers to understand what the code means.","For code Communicate with other students, the description More than one interviewee got information from their interactions with other students does not help the readers to understand what the code means.",Sensemaking 1&Impact 1,71.67,393
2568,You should have provided more a detailed explanation to describe what each code is as the limitation on words are 50 words. This helps to understand whether each code is latent or semantic and how each code is associated with one of the themes.,You should have provided more a detailed explanation to describe what each code is as the limitation on words are 50 words. This helps to understand whether each code is latent or semantic and how each code is associated with one of the themes.,Sensemaking 1&Impact 1,71.67,393
2569,"You received 17 marks for Week 4, 8 marks for Week 5 and 17 marks for Week 6"" 71.67","You received 17 marks for Week 4, 8 marks for Week 5 and 17 marks for Week 6"" ",Agency 1,71.67,393
2570,Your video is quite good!,Your video is quite good!,Agency 2,66.67,394
2571,Well done!,Well done!,Agency 2,66.67,394
2572,All elements described in the treatment appear in the video.,All elements described in the treatment appear in the video.,Sensemaking 2,66.67,394
2573,"The script uses appropriate language for the audience, and does not presume either too much or too little pre-existing knowledge.","The script uses appropriate language for the audience, and does not presume either too much or too little pre-existing knowledge.",Sensemaking 1,66.67,394
2574,"Some comments for you to improve: 1. some important contents are missing, e.g. the benefits","Some comments for you to improve: 1. some important contents are missing, e.g. the benefits",Sensemaking 1,66.67,394
2575,"; 2. The video style is monotonous. Too many static figures are used, which looks like a presentation. Other visuals (e.g. animation) can be used to demonstrate the points","; 2. The video style is monotonous. Too many static figures are used, which looks like a presentation. Other visuals (e.g. animation) can be used to demonstrate the points",Sensemaking 1&Impact 1,66.67,394
2576,"; 3. some of justifications are too general, which requires further clarification, e.g. """"00:00- 00:34""""","; 3. some of justifications are too general, which requires further clarification, e.g. """"00:00- 00:34""""",Sensemaking 1,66.67,394
2577,"1. The summary is Not completely clear, could be improved. You should put more focus on describing the system (e.g. benefits) rather than introducing the background;","1. The summary is Not completely clear, could be improved. You should put more focus on describing the system (e.g. benefits) rather than introducing the background;",Sensemaking 1&Impact 1,66.67,394
2578,"2 - There is mention of a problem, but its not clearly defined.","2 - There is mention of a problem, but its not clearly defined.",Sensemaking 1,66.67,394
2579,"3. The impact is mentioned, but its not clear how this benefits a potential industry partner.","3. The impact is mentioned, but its not clear how this benefits a potential industry partner.",Sensemaking 1,66.67,394
2580,"4. no potential commercialisation is mentioned, and not clear how this might be realised, particularly in relation to any previous questions on patents etc","4. no potential commercialisation is mentioned, and not clear how this might be realised, particularly in relation to any previous questions on patents etc",Sensemaking 1,66.67,394
2581,; 5. please explain why these industries are beneficial from this research.,; 5. please explain why these industries are beneficial from this research.,Impact 1,66.67,394
2582,"You received 33 marks for Week 10 and 11 and 7 marks for Week 12"" 66.67","You received 33 marks for Week 10 and 11 and 7 marks for Week 12"" ",Agency 1,66.67,394
2583,"Overall, you have done a good with creating the video.","Overall, you have done a good with creating the video.",Agency 2,86.67,395
2584,"My main concerns were related to the length of beats and the absence of attributions where you took images and videos from other sources. In fact, some of the beats were either too short (less than 8 seconds or more than 20 seconds). The ideal length for each beat based on the total duration of the video is between 10 to 15 seconds.","My main concerns were related to the length of beats and the absence of attributions where you took images and videos from other sources. In fact, some of the beats were either too short (less than 8 seconds or more than 20 seconds). The ideal length for each beat based on the total duration of the video is between 10 to 15 seconds.",Sensemaking 1&Impact 1,86.67,395
2585,"You could have also incorporated more live action to the video without keeping static images created by you. However, the colors, text and other effects you used were still able to grab the attention.","You could have also incorporated more live action to the video without keeping static images created by you. However, the colors, text and other effects you used were still able to grab the attention.",Sensemaking 1,86.67,395
2586,"Viet, overall, you have done a great job with week 12 tasks.","Viet, overall, you have done a great job with week 12 tasks.",Agency 2,86.67,395
2587,Your answers were very specific and addressed the points asked in the questions well.,Your answers were very specific and addressed the points asked in the questions well.,Sensemaking 2,86.67,395
2588,"Therefore, for this part of the assignment, I don't have any comments for further improvement.","Therefore, for this part of the assignment, I don't have any comments for further improvement.",Sensemaking 1,86.67,395
2589,"You received 43 marks for Week 10 and 11 and 10 marks for Week 12"" 86.67","You received 43 marks for Week 10 and 11 and 10 marks for Week 12"" ",Agency 1,86.67,395
2590,"For week 7, you mentioned “Population standard deviation x1 = 6.1504” and “Sample standard deviation x2 = 6.1415”. You mix up with the two values. You could adjust the X axis label, the Y axis label, the unit of the values on X and Y axes, the title and the legend of the plot with meaningful words, corresponding font size and different colour to make the plot more readable and clearer.","For week 7, you mentioned “Population standard deviation x1 = 6.1504” and “Sample standard deviation x2 = 6.1415”. You mix up with the two values. You could adjust the X axis label, the Y axis label, the unit of the values on X and Y axes, the title and the legend of the plot with meaningful words, corresponding font size and different colour to make the plot more readable and clearer.",Sensemaking 1&Impact 1,78.33,396
2591,"For week 8, The students who have received training about Zoom features from the teaching team would prefer to take online class than on campus class is not an alternative hypothesis and “Whether the students have received training about Zoom features from the teaching team, it would not affect the students’ preferences of taking online class than on campus class” is not a null hypothesis as there are two testable variables.","For week 8, The students who have received training about Zoom features from the teaching team would prefer to take online class than on campus class is not an alternative hypothesis and “Whether the students have received training about Zoom features from the teaching team, it would not affect the students’ preferences of taking online class than on campus class” is not a null hypothesis as there are two testable variables.",Sensemaking 1&Impact 1,78.33,396
2592,"For week 9, the working out for confusion matrix is missing and the grid is correct.","For week 9, the working out for confusion matrix is missing and the grid is correct.",Sensemaking 1,78.33,396
2593,"As for question 3, It would be better if you could further discuss accuracy and limits of sampling with detailed and reasonable justifications. For example, “The accuracy is too low to allow the wastes to be distinguished in a right label. In conclusion, the council should not purchase this system. ”","As for question 3, It would be better if you could further discuss accuracy and limits of sampling with detailed and reasonable justifications. For example, “The accuracy is too low to allow the wastes to be distinguished in a right label. In conclusion, the council should not purchase this system. ”",Impact 1,78.33,396
2594,"To improve your work, you could also discuss the topics such as comparison with other methods, discrimination or limits of sampling in details. you should add the working out for showing how the bottles and all other categories are counted correctly.","To improve your work, you could also discuss the topics such as comparison with other methods, discrimination or limits of sampling in details. you should add the working out for showing how the bottles and all other categories are counted correctly.",Impact 1,78.33,396
2595,"You received 15 marks for Week 7, 16 marks for Week 8 and 16 marks for Week 9"" 78.33","You received 15 marks for Week 7, 16 marks for Week 8 and 16 marks for Week 9"" ",Agency 1,78.33,396
2596,"The calculation results for the population std, IQR, and sample std are all correct.","The calculation results for the population std, IQR, and sample std are all correct.",Sensemaking 1,71.67,397
2597,"However, the MATLAB command lines are not complete.","However, the MATLAB command lines are not complete.",Sensemaking 1,71.67,397
2598,One recommendation is to put more annotations/comments along with your calculations for std and IQR using MatLab Scripts.,One recommendation is to put more annotations/comments along with your calculations for std and IQR using MatLab Scripts.,Impact 1,71.67,397
2599,"It's good to explain all the hidden steps as you directly used the built-in functions, and it should be written as part of the script, explaining each line. For example, you could explain the interquartile range Q1 and Q3 means for measuring the Interquartile Range.","It's good to explain all the hidden steps as you directly used the built-in functions, and it should be written as part of the script, explaining each line. For example, you could explain the interquartile range Q1 and Q3 means for measuring the Interquartile Range.",Sensemaking 1&Impact 1,71.67,397
2600,"Also, you could have labelled the Min, Max, Q1, Q2 and Q3 on your boxplot diagram, avoiding manual annotations.","Also, you could have labelled the Min, Max, Q1, Q2 and Q3 on your boxplot diagram, avoiding manual annotations.",Sensemaking 1,71.67,397
2601,"Regarding Week 8, You've identified a relevant hypothesis that is fairly well defined.","Regarding Week 8, You've identified a relevant hypothesis that is fairly well defined.",Sensemaking 2,71.67,397
2602,The Null Hypothesis is appropriately related to the scenario.,The Null Hypothesis is appropriately related to the scenario.,Sensemaking 1,71.67,397
2603,Independent and dependent variables are all relevant.,Independent and dependent variables are all relevant.,Sensemaking 1,71.67,397
2604,"However, some confounding variables are difficult to be measured in an experiment(the characteristics of the student).","However, some confounding variables are difficult to be measured in an experiment(the characteristics of the student).",Sensemaking 1,71.67,397
2605,"Regarding Question 4, further details would be appropriate, such as a breakdown of time, and it should be realistic.","Regarding Question 4, further details would be appropriate, such as a breakdown of time, and it should be realistic.",Impact 1,71.67,397
2606,"The t-test is not appropriate in this scenario as you are attempting to reveal a relationship. Thereby, a correctional study matches your Hypothesis. However, you have ordinal data, and you couldn’t apply a parametric test.","The t-test is not appropriate in this scenario as you are attempting to reveal a relationship. Thereby, a correctional study matches your Hypothesis. However, you have ordinal data, and you couldn’t apply a parametric test.",Sensemaking 1&Impact 1,71.67,397
2607,"Furthermore, it would be best to detail your assumptions based on the scenario and more discussion required for future investigations.","Furthermore, it would be best to detail your assumptions based on the scenario and more discussion required for future investigations.",Impact 1,71.67,397
2608,"All the answers are correct, but you can improve your work by elaborating more on the limitation of the applicability of accuracy metric in this problem compared to other methods.","All the answers are correct, but you can improve your work by elaborating more on the limitation of the applicability of accuracy metric in this problem compared to other methods.",Sensemaking 2&Impact 1,71.67,397
2609,"Also, you could have mentioned the sample size limitation.","Also, you could have mentioned the sample size limitation.",Sensemaking 1,71.67,397
2610,"Furthermore, it's better to see how you have counted each element of the matrix by hand.","Furthermore, it's better to see how you have counted each element of the matrix by hand.",Impact 1,71.67,397
2611,"You received 14 marks for Week 7, 15 marks for Week 8 and 14 marks for Week 9"" 71.67","You received 14 marks for Week 7, 15 marks for Week 8 and 14 marks for Week 9"" ",Agency 1,71.67,397
2612,"Firstly, the calculation results for the std, IQR, and sample std are all correct.","Firstly, the calculation results for the std, IQR, and sample std are all correct.",Sensemaking 1,93.33,398
2613,Well done!,Well done!,Agency 2,93.33,398
2614,The MATLAB command lines are relatively complete.,The MATLAB command lines are relatively complete.,Sensemaking 1,93.33,398
2615,One recommendation is the boxplot tasks require further clarifications as annotations tasks are incomplete.,One recommendation is the boxplot tasks require further clarifications as annotations tasks are incomplete.,Impact 1,93.33,398
2616,"Please revise the values for each point (e.g. median, maximum) in the figure","Please revise the values for each point (e.g. median, maximum) in the figure",Impact 1,93.33,398
2617,You have successfully identified a hypothesis and null hypothesis; the confounding variables also are a good match for your topic.,You have successfully identified a hypothesis and null hypothesis; the confounding variables also are a good match for your topic.,Sensemaking 2&Sensemaking 1,93.33,398
2618,"Some further improvement can be included in the Section 4, it would be good to see more details about how to use limited budget and time to collect the data.","Some further improvement can be included in the Section 4, it would be good to see more details about how to use limited budget and time to collect the data.",Impact 1,93.33,398
2619,You have done a wonderful job for this week!,You have done a wonderful job for this week!,Agency 2,93.33,398
2620,"You received 17 marks for Week 7, 19 marks for Week 8 and 20 marks for Week 9"" 93.33","You received 17 marks for Week 7, 19 marks for Week 8 and 20 marks for Week 9"" ",Agency 1,93.33,398
2621,"For week 10 and 11, any content that is not generated by yourself should be acknowledged and a reference list that give credits to the creator of the content can be placed at the bottom along with the content being used or at the last few seconds of the video. Without sticking to this rule, it is hard to tell which content is created by yourself and which is from other sources.","For week 10 and 11, any content that is not generated by yourself should be acknowledged and a reference list that give credits to the creator of the content can be placed at the bottom along with the content being used or at the last few seconds of the video. Without sticking to this rule, it is hard to tell which content is created by yourself and which is from other sources.",Impact 1,86.67,399
2622,"One issue can be found at 0:17. To convey a meaning amount of content, the length of each beat should be around 10 to 15 seconds. Thus, a 90 second video should be 6 ~ 9 beats ideally. The fifth beat is 5 seconds.","One issue can be found at 0:17. To convey a meaning amount of content, the length of each beat should be around 10 to 15 seconds. Thus, a 90 second video should be 6 ~ 9 beats ideally. The fifth beat is 5 seconds.",Sensemaking 1&Impact 1,86.67,399
2623,"For week 12, impact could have been further explained. An avenue of impact should be clearly identified, and explicit mention of the gain for industry could have been further discussed.","For week 12, impact could have been further explained. An avenue of impact should be clearly identified, and explicit mention of the gain for industry could have been further discussed.",Sensemaking 1&Impact 1,86.67,399
2624,"Also, you could cover wider perspectives such as social good, cost savings, sales targets etc instead of simply rephrasing the solution statement from the paper. For example, you could explain why this new technology can bring benefits to the industry partner(s) from several different perspectives.","Also, you could cover wider perspectives such as social good, cost savings, sales targets etc instead of simply rephrasing the solution statement from the paper. For example, you could explain why this new technology can bring benefits to the industry partner(s) from several different perspectives.",Impact 1,86.67,399
2625,"You add four prior arts, but it is not clear why they are relevant.","You add four prior arts, but it is not clear why they are relevant.",Sensemaking 1,86.67,399
2626,You should provide justifications why the industry sector could potentially benefit from the work.,You should provide justifications why the industry sector could potentially benefit from the work.,Impact 1,86.67,399
2627,You could discuss how “green companies” can benefit from the work from different perspectives.,You could discuss how “green companies” can benefit from the work from different perspectives.,Impact 1,86.67,399
2628,"You received 43 marks for Week 10 and 11 and 9 marks for Week 12"" 86.67","You received 43 marks for Week 10 and 11 and 9 marks for Week 12"" ",Agency 1,86.67,399
2629,There are several ways to improve your work further.,There are several ways to improve your work further.,Agency 1,65,400
2630,"First, you were supposed to discuss at least three ethical dimensions in detail and provide valid examples from the research paper to justify your claims. However, you have only described two ethical dimensions in detail.","First, you were supposed to discuss at least three ethical dimensions in detail and provide valid examples from the research paper to justify your claims. However, you have only described two ethical dimensions in detail.",Sensemaking 1,65,400
2631,"While you provided examples for the ethical dimension on ‘vulnerable research participants’, for the other ethical dimension(s), your discussions lacked examples from the study.","While you provided examples for the ethical dimension on ‘vulnerable research participants’, for the other ethical dimension(s), your discussions lacked examples from the study.",Sensemaking 1,65,400
2632,There were also many grammatical errors that affected the readability of your submitted work.,There were also many grammatical errors that affected the readability of your submitted work.,Sensemaking 1,65,400
2633,"In order to improve your writing, I recommend that you seek the assistance of Monash library services and English Connect.","In order to improve your writing, I recommend that you seek the assistance of Monash library services and English Connect.",Agency 1,65,400
2634,Please do let me know if you require further clarification or feedback about your work.,Please do let me know if you require further clarification or feedback about your work.,Agency 1,65,400
2635,The focus of your justifications could have been based on describing aspects of the abstract and explaining why the research is relevant to the original text.,The focus of your justifications could have been based on describing aspects of the abstract and explaining why the research is relevant to the original text.,Sensemaking 1,65,400
2636,"Although, this is the main consideration of your assignment that need to be prioritized. However, it can be seen that you have spent more time on listing the quality indicators under each citation, which is good, but it could have been better if you focused more on constructing arguments on relevancy.","Although, this is the main consideration of your assignment that need to be prioritized. However, it can be seen that you have spent more time on listing the quality indicators under each citation, which is good, but it could have been better if you focused more on constructing arguments on relevancy.",Impact 1&Sensemaking 1,65,400
2637,"In addition, the explanations are too long and not straightforward.","In addition, the explanations are too long and not straightforward.",Sensemaking 1,65,400
2638,"Overall, you exceed the limit of 600 words (your submission contains 700+ words, and we only evaluate the first 600 words).","Overall, you exceed the limit of 600 words (your submission contains 700+ words, and we only evaluate the first 600 words).",Sensemaking 2,65,400
2639,"Moreover, except for the first and fourth citations, all the other explanations are just a summary of the abstract, and I do not see that you constructed any arguments to compare and contrast both papers in terms of their approach/concept/focus groups. In this way, you can deliver more convincing arguments.","Moreover, except for the first and fourth citations, all the other explanations are just a summary of the abstract, and I do not see that you constructed any arguments to compare and contrast both papers in terms of their approach/concept/focus groups. In this way, you can deliver more convincing arguments.",Sensemaking 1&Impact 1,65,400
2640,"As per assignment guidelines, you were supposed to rank five papers that have cited the given paper. It is good that you have added an explanation in your words why the chosen papers were ranked in that order. However, it seems your decision on the ranking is biased as you ordered them mostly on the quality indicators rather than the relevancy of the content.","As per assignment guidelines, you were supposed to rank five papers that have cited the given paper. It is good that you have added an explanation in your words why the chosen papers were ranked in that order. However, it seems your decision on the ranking is biased as you ordered them mostly on the quality indicators rather than the relevancy of the content.",Sensemaking 1,65,400
2641,"You received 12.6 marks for Week 1 and 12.9 marks for Week 3."" 65","You received 12.6 marks for Week 1 and 12.9 marks for Week 3."" ",Agency 1,65,400
2642,"For week 7, you have calculated the correct values for population standard deviation, IQR and sample standard deviation.","For week 7, you have calculated the correct values for population standard deviation, IQR and sample standard deviation.",Sensemaking 1,76.67,401
2643,The MATLAB commands with script is also complete.,The MATLAB commands with script is also complete.,Sensemaking 1,76.67,401
2644,One recommendation is to put more clarifications along with your calculations.,One recommendation is to put more clarifications along with your calculations.,Impact 1,76.67,401
2645,"Also, the annotations for boxplot were missing. It would have been better if MATLAB was used to annotate boxplot.","Also, the annotations for boxplot were missing. It would have been better if MATLAB was used to annotate boxplot.",Sensemaking 1&Impact 1,76.67,401
2646,"For week 8, you have identified the hypothesis as well as null hypothesis properly.","For week 8, you have identified the hypothesis as well as null hypothesis properly.",Sensemaking 2,76.67,401
2647,"The dependent, independent and confounding variables are a good match for your hypothesis.","The dependent, independent and confounding variables are a good match for your hypothesis.",Sensemaking 1,76.67,401
2648,"Limitations and future investigations have been identified properly, but some further improvements can be done to improve them.","Limitations and future investigations have been identified properly, but some further improvements can be done to improve them.",Sensemaking 1,76.67,401
2649,"For week 9, the confusion matrix computed for Q(a) is correct, based on which the value for accuracy is correct.","For week 9, the confusion matrix computed for Q(a) is correct, based on which the value for accuracy is correct.",Sensemaking 1,76.67,401
2650,"In addition, the calculation for only bottles confusion matrix is done correctly based on which values for recall, precision and f1-score are correct.","In addition, the calculation for only bottles confusion matrix is done correctly based on which values for recall, precision and f1-score are correct.",Sensemaking 1,76.67,401
2651,"You received 10 marks for Week 7, 16 marks for Week 8 and 20 marks for Week 9"" 76.67","You received 10 marks for Week 7, 16 marks for Week 8 and 20 marks for Week 9"" ",Agency 1,76.67,401
2652,"For Week 10-11, the language and audio are good Chengzhi Nie.","For Week 10-11, the language and audio are good Chengzhi Nie.",Sensemaking 1,30,402
2653,"However, the story, content, and visual representation are below the expected level; video and pdf file donot match at all. For example, your video was more than 140 seconds long, but pdf plan presents only 90 seconds.","However, the story, content, and visual representation are below the expected level; video and pdf file donot match at all. For example, your video was more than 140 seconds long, but pdf plan presents only 90 seconds.",Sensemaking 2&Sensemaking 1,30,402
2654,All the beasts are too lengthy.,All the beasts are too lengthy.,Sensemaking 1,30,402
2655,"Then, you have used a set of slides for all the beats, which are not matching with your writing—we only evaluate the first 90 seconds of your video and corresponding plan.","Then, you have used a set of slides for all the beats, which are not matching with your writing—we only evaluate the first 90 seconds of your video and corresponding plan.",Sensemaking 1,30,402
2656,"In the video, we expect you to create live content and use video footage and images where possible. Your video was just a presentation, not a narrative.","In the video, we expect you to create live content and use video footage and images where possible. Your video was just a presentation, not a narrative.",Impact 1&Sensemaking 1,30,402
2657,Please read the assignment specifications properly.,Please read the assignment specifications properly.,Agency 1,30,402
2658,"Moreover, the research communication is not sufficient in terms of content (the script).","Moreover, the research communication is not sufficient in terms of content (the script).",Sensemaking 1,30,402
2659,You could have concluded your video in a more welcoming manner to grab the attention of potential funding bodies rather than just telling the properties/features.,You could have concluded your video in a more welcoming manner to grab the attention of potential funding bodies rather than just telling the properties/features.,Sensemaking 1,30,402
2660,"Also, please make sure that all assets in the video are appropriately attributed.","Also, please make sure that all assets in the video are appropriately attributed.",Impact 1,30,402
2661,"All content needs to be acknowledged throughout your assignment, even if you use a part of an existing image created by someone else (not by yourself).","All content needs to be acknowledged throughout your assignment, even if you use a part of an existing image created by someone else (not by yourself).",Impact 2,30,402
2662,"For the week 12 task, you have discussed the background, potential solution, and the impact of the research, but almost everything is unrelated to the assignment specification.","For the week 12 task, you have discussed the background, potential solution, and the impact of the research, but almost everything is unrelated to the assignment specification.",Sensemaking 1&Sensemaking 2,30,402
2663,"For example, there is mention of a problem, but it is not clearly defined.","For example, there is mention of a problem, but it is not clearly defined.",Sensemaking 1,30,402
2664,"Also, it would be best if you framed your justification correctly while discussing the standard rules for patent decisions e.g. novelty, usefulness, with a more clear YES/No answer.","Also, it would be best if you framed your justification correctly while discussing the standard rules for patent decisions e.g. novelty, usefulness, with a more clear YES/No answer.",Impact 1,30,402
2665,"Moreover, you have described options for either commercial potential (e.g. licensing IP), or how it cannot be commercialized (e.g. open-source with invalid license), but more detail is required, i.e., not clear how this might be realized, particularly concerning any previous questions on patents.","Moreover, you have described options for either commercial potential (e.g. licensing IP), or how it cannot be commercialized (e.g. open-source with invalid license), but more detail is required, i.e., not clear how this might be realized, particularly concerning any previous questions on patents.",Sensemaking 1&Impact 1,30,402
2666,"Then, at least one industry sector is identified and a short justification is given, which is somehow okay with your submission.","Then, at least one industry sector is identified and a short justification is given, which is somehow okay with your submission.",Sensemaking 1,30,402
2667,"Finally, there are few distracting spelling, punctuation, grammatical errors in your writing.","Finally, there are few distracting spelling, punctuation, grammatical errors in your writing.",Sensemaking 1,30,402
2668,Examined by Md ShamsujjohaPlease send an email to md.shamsujjoha2@monash.edu. in case of any inconsistency,Examined by Md ShamsujjohaPlease send an email to md.shamsujjoha2@monash.edu. in case of any inconsistency,Agency 1,30,402
2669,"You received 14 marks for Week 10 and 11 and 4 marks for Week 12"" 30","You received 14 marks for Week 10 and 11 and 4 marks for Week 12"" ",Agency 1,30,402
2670,"Shwetank, there are several ways to improve your work further.","Shwetank, there are several ways to improve your work further.",Agency 1,63.33,403
